"sample","name","value"
"1","Error_rate","49934",0.2477
"2","Error_rate","49935",0.1982
"3","Error_rate","49936",0.1951
"4","Error_rate","49937",0.2855
"5","Error_rate","49938",0.2064
"6","Error_rate","49939",0.2336
"7","Error_rate","49940",0.2569
"8","Error_rate","49941",0.1817
"9","Error_rate","49943",0.2206
"10","Error_rate","49944",0.1362
"11","Error_rate","49945",0.2316
"12","Error_rate","49946",0.2725
"13","Error_rate","49947",0.2203
"14","Error_rate","49948",0.322
"15","Error_rate","49950",0.1797
"16","Error_rate","49951",0.1793
"17","Error_rate","49952",0.1168
"18","Error_rate","49956",0.0272
"19","Error_rate","49959",0.1752
"20","Error_rate","49960",0.1258
"21","Error_rate","49962",0.3211
"22","Error_rate","49963",0.0454
"23","Error_rate","49964",0.2826
"24","Error_rate","49965",0.2515
"25","Error_rate","49966",0.3963
"26","Error_rate","49967",0.1635
"27","Error_rate","49968",0.2997
"28","Error_rate","49970",0.1886
"29","Error_rate","49971",0.2578
"30","Error_rate","49972",0.2997
"31","Error_rate","49973",0.1567
"32","Error_rate","49975",0.3464
"33","Error_rate","49976",0.3406
"34","Error_rate","49977",0.2312
"35","Error_rate","49978",0.2725
"36","Error_rate","49979",0.2675
"37","Error_rate","49981",0.2044
"38","Error_rate","49982",0.1886
"39","Error_rate","49983",0.1849
